GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,10276,N5Z,178.0,1.0,907,90.16666666666667,3,0
120,10267,L7E,196.0,1.0,852,85.16666666666667,1,1
120,10324,L5N,196.0,3.0,892,15.333333333333334,3,1
120,10801,M2J,196.0,2.0,883,83.66666666666667,2,1
120,10227,N6H,191.0,1.0,860,85.5,6,0
120,10619,N2T,178.0,1.0,927,90.33333333333333,3,0
120,10555,L4S,178.0,1.0,925,92.5,2,0
119,10543,L5R,194.0,4.0,818,81.83333333333333,7,0
119,10429,L6H,196.0,2.0,882,87.33333333333333,2,1
119,10396,M2J,194.0,4.0,945,92.66666666666667,5,0
120,10887,M9W,196.0,2.0,887,88.5,2,1
120,10743,N4S,181.0,6.0,735,70.83333333333333,2,0
120,10639,L5M,196.0,3.0,878,87.83333333333333,3,1
120,10881,P6A,196.0,1.0,983,97.5,1,1
120,10758,K7K,191.0,1.0,898,88.33333333333333,2,0
120,11014,M6N,194.0,1.0,925,92.5,2,0
119,10396,M2M,196.0,1.0,933,93.16666666666667,1,1
120,10793,K7M,193.0,5.0,808,77.16666666666667,2,0
119,10786,L4Y,191.0,4.0,882,84.5,3,0
120,10267,L7E,178.0,1.0,818,81.33333333333333,2,0
120,10302,L6M,196.0,1.0,905,90.5,1,1
119,10550,L0G,194.0,1.0,948,91.66666666666667,3,0
120,10509,N0G,196.0,1.0,853,85.33333333333333,1,1
120,10918,M9P,178.0,1.0,845,83.5,3,0
120,10649,L5R,190.0,4.0,882,84.66666666666667,1,0
120,10781,L6M,178.0,1.0,890,83.83333333333333,4,0
120,10876,M5M,199.0,6.0,843,82.83333333333333,2,0
119,10495,L9B,178.0,1.0,902,86.83333333333333,4,0
120,11026,M9A,196.0,2.0,863,85.66666666666667,2,1
120,10472,P1C,199.0,1.0,915,86.83333333333333,2,0
120,11000,L3T,178.0,3.0,950,94.0,4,0
120,10742,L4N,178.0,1.0,872,85.5,2,0
120,10639,L5M,178.0,1.0,863,84.5,3,0
120,10997,L4L,194.0,1.0,907,89.33333333333333,3,0
120,10636,L6C,178.0,1.0,845,81.16666666666667,7,0
120,10479,M9V,190.0,2.0,718,71.83333333333333,1,0
120,10252,L5M,178.0,6.0,912,90.16666666666667,2,0
120,10851,L5J,191.0,2.0,927,91.5,3,0
120,10575,N0N,193.0,3.0,858,67.16666666666667,1,0
120,10668,M1P,196.0,3.0,825,77.5,1,0
120,10464,M1G,181.0,4.0,790,79.0,2,0
119,10930,L9N,191.0,2.0,877,86.66666666666667,3,0
120,10728,M5J,190.0,4.0,750,75.0,7,0
120,11236,L5V,194.0,4.0,755,75.5,2,0
119,10786,L4W,178.0,1.0,957,95.16666666666667,4,0
119,10646,M9R,194.0,1.0,960,95.16666666666667,3,0
120,10802,M2J,194.0,1.0,965,95.33333333333333,3,0
